Rank,Country,Country Code,Gold,Silver,Bronze,Total
1.0,United States,US,40.0,44.0,42.0,126.0
4.0,Australia,AUS,18.0,19.0,16.0,53.0
5.0,France,FRA,16.0,26.0,22.0,64.0
7.0,Great Britain,GBG,14.0,22.0,29.0,65.0
9.0,Italy,ITA,12.0,13.0,15.0,40.0
10.0,Germany,GER,12.0,13.0,8.0,33.0
14.0,Hungary,HUN,6.0,7.0,6.0,19.0
20.0,Brazil,BRZ,3.0,7.0,10.0,20.0
21.0,Iran,IRN,3.0,6.0,3.0,12.0
22.0,Ukraine,UKR,3.0,5.0,4.0,12.0
23.0,Romania,ROM,3.0,4.0,2.0,9.0
41.0,Israel,ISR,1.0,5.0,1.0,7.0
42.0,Poland,POL,1.0,4.0,5.0,10.0
43.0,Kazakhstan,KAZ,1.0,3.0,3.0,7.0
44.0,Jamaica,JAM,1.0,3.0,2.0,6.0
44.0,South Africa,SA,1.0,3.0,2.0,6.0
44.0,Thailand,THA,1.0,3.0,2.0,6.0
47.0,Ethiopia,ETH,1.0,3.0,0.0,4.0
48.0,Switzerland,SWI,1.0,2.0,5.0,8.0
49.0,Ecuador,ECU,1.0,2.0,2.0,5.0
50.0,Portugal,POR,1.0,2.0,1.0,4.0
64.0,Turkey,TUR,0.0,3.0,5.0,8.0
65.0,Mexico,MEX,0.0,3.0,2.0,5.0
66.0,Armenia,ARM,0.0,3.0,1.0,4.0
66.0,Colombia,COL,0.0,3.0,1.0,4.0
68.0,North Korea,PRK,0.0,2.0,4.0,6.0
68.0,Kyrgyzstan,KGZ,0.0,2.0,4.0,6.0
70.0,Lithuania,LTU,0.0,2.0,2.0,4.0
71.0,India,IND,0.0,1.0,5.0,6.0
72.0,Moldova,MDA,0.0,1.0,3.0,4.0
73.0,Kosovo,KOS,0.0,1.0,1.0,2.0
74.0,Cyprus,CYP,0.0,1.0,0.0,1.0
74.0,Fiji,FIJ,0.0,1.0,0.0,1.0
74.0,Jordan,JOR,0.0,1.0,0.0,1.0
74.0,Mongolia,MGL,0.0,1.0,0.0,1.0
74.0,Panama,PAN,0.0,1.0,0.0,1.0
